case_id,gt_et_voxels,small_gt_lesions,baseline_pred_et_voxels,baseline_et_dice,baseline_hd95_mm,baseline_boundary_dice,baseline_boundary_valid,baseline_small_detected_lesions,baseline_small_missed_lesions,baseline_small_gt_anchored_dice,lhfc_pred_et_voxels,lhfc_et_dice,lhfc_hd95_mm,lhfc_boundary_dice,lhfc_boundary_valid,lhfc_small_detected_lesions,lhfc_small_missed_lesions,lhfc_small_gt_anchored_dice,full_pred_et_voxels,full_et_dice,full_hd95_mm,full_boundary_dice,full_boundary_valid,full_small_detected_lesions,full_small_missed_lesions,full_small_gt_anchored_dice,small_detection_gain,small_dice_gain,et_dice_gain,hd95_improvement,boundary_dice_improvement,all_models_boundary_valid,regression_score
BraTS20_Training_112,48172,1,49097,0.9433632503675374,1.4142135623730951,0.9509717780198924,True,0,1,0.0,48160,0.9589544491965287,1.0,0.9861967792484914,True,0,1,0.0,48853,0.9555681525380056,1.0,0.9764015777230893,True,0,1,0.0,0,0.0,0.012204902170468213,0.41421356237309515,0.02542979970319692,True,0.20721140658986917
BraTS20_Training_131,8067,0,7646,0.8740533316362248,2.0,0.8937754921085299,True,0,0,,8196,0.8855684683022812,2.449489742783178,0.9315558445781174,True,0,0,,8252,0.8887799497518231,2.23606797749979,0.9300916830386379,True,0,0,,0,,0.014726618115598278,-0.2360679774997898,0.03631619093010796,True,0.3001856151571155
BraTS20_Training_139,4467,0,4121,0.8728458313926409,2.8284271247461903,0.8538461538461538,True,0,0,,4151,0.8895335344627524,1.4142135623730951,0.9313923320841742,True,0,0,,4060,0.8781517532543685,1.4142135623730951,0.9020937776467118,True,0,0,,0,,0.005305921861727514,1.4142135623730951,0.048247623800558026,True,-0.32666063560619424
BraTS20_Training_155,29300,1,26360,0.9101688825008983,1.7320508075688772,0.9303888147818784,True,0,1,0.0,26513,0.9344776306595237,1.4142135623730951,0.9634451445515196,True,0,1,0.0,25562,0.9137107651926653,1.4142135623730951,0.9500047032264133,True,0,1,0.0,0,0.0,0.0035418826917669177,0.31783724519578205,0.01961588844453488,True,0.29438342101096954
BraTS20_Training_174,25207,1,23947,0.9301786222891321,2.23606797749979,0.9128413712957583,True,0,1,0.0,23958,0.9328587409742704,1.7320508075688772,0.9217426381605486,True,0,1,0.0,23838,0.9311448669589153,2.0,0.9154426681814494,True,0,1,0.0,0,0.0,0.0009662446697832339,0.2360679774997898,0.0026012968856911067,True,0.48772894705104725
BraTS20_Training_193,29758,0,553,0.0,79.22878260851947,0.0,True,0,0,,0,0.0,,,False,0,0,,32,0.0021483719368915744,31.451549398647114,0.007748809427718137,True,0,0,,0,,0.0021483719368915744,47.77723320987235,0.007748809427718137,False,-14.224837991395267
BraTS20_Training_200,4539,0,4352,0.8950624226746148,2.0,0.9153184165232358,True,0,0,,4333,0.8866095581605049,2.0,0.9076770350761085,True,0,0,,4290,0.8854909955827387,2.0,0.9021956087824351,True,0,0,,0,,-0.009571427091876084,0.0,-0.013122807740800657,True,0.7159084088730452
BraTS20_Training_205,4439,0,3772,0.906832298136646,1.0,0.9681528662420382,True,0,0,,3512,0.8776254559174946,1.4142135623730951,0.9413489736070382,True,0,0,,3391,0.8628352490421456,1.4142135623730951,0.9070025935531678,True,0,0,,0,,-0.04399704909450042,-0.41421356237309515,-0.06115027268887041,True,1.318230205081834
BraTS20_Training_206,5096,0,6561,0.8458436990649395,4.0,0.7459900845727617,True,0,0,,5539,0.8787964268923366,5.0,0.8481012658227848,True,0,0,,5452,0.8934395145999242,3.2857553643179886,0.884648493543759,True,0,0,,0,,0.04759581553498471,0.7142446356820114,0.13865840897099724,True,-1.0041746470592068
BraTS20_Training_216,17097,3,21213,0.739180370660402,3.0,0.7952612393681653,True,0,3,0.0,24313,0.7262496981405457,3.1622776601683795,0.7758297093156329,True,0,3,0.0,24325,0.7322678769735889,3.1622776601683795,0.7784251167522079,True,0,3,0.0,0,0.0,-0.006912493686813126,-0.16227766016837952,-0.01683612261595735,True,0.8026475880212093
BraTS20_Training_223,30477,0,31182,0.9485395481600415,1.4142135623730951,0.93722874135991,True,0,0,,28951,0.9377061317897287,1.4142135623730951,0.9472683001065287,True,0,0,,28842,0.9384177076484769,1.4142135623730951,0.9492970730583083,True,0,0,,0,,-0.010121840511564617,0.0,0.012068331698398382,True,0.4669848511590925
BraTS20_Training_231,40450,0,32920,0.8917541229385307,2.449489742783178,0.7664828277763851,True,0,0,,35478,0.9084395743335791,4.283331076866813,0.8372401082762195,True,0,0,,35728,0.911601774790622,4.123105625617661,0.8443428968070338,True,0,0,,0,,0.019847651852091253,-1.6736158828344827,0.07786006903064868,True,0.33301419959815476
BraTS20_Training_248,36340,2,39635,0.8759460348798948,1.4142135623730951,0.8933111603843311,True,1,1,0.24444444444444444,39679,0.8874623449400808,1.4142135623730951,0.9241269841269841,True,0,2,0.0,39365,0.8843537414965986,1.4142135623730951,0.9258466259857974,True,0,2,0.0,-1,-0.24444444444444444,0.00840770661670387,0.0,0.03253546560146625,True,0.2647410503315781
BraTS20_Training_260,17858,1,16158,0.886406396989652,4.58257569495584,0.7451332320861521,True,0,1,0.0,13262,0.8345115681233933,5.074264635194588,0.5932383867962199,True,0,1,0.0,12437,0.8002640699785443,5.385164807134504,0.5130974885228193,True,0,1,0.0,0,0.0,-0.08614232701110769,-0.8025891121786639,-0.23203574356333279,True,3.12659183707912
BraTS20_Training_261,9426,8,4304,0.5158048069919884,14.45683229480096,0.5270116723478979,True,0,8,0.0,5056,0.59245960502693,8.12403840463596,0.6480795476701111,True,0,8,0.0,5164,0.5680603152844415,14.45683229480096,0.6091617933723197,True,0,8,0.0,0,0.0,0.05225550829245307,0.0,0.08215012102442176,True,-0.22552087578900654
BraTS20_Training_267,5256,0,5032,0.8576982892690513,14.881186802613275,0.8899463152757443,True,0,0,,4939,0.8694458067680235,16.623717573717215,0.9162401116798511,True,0,0,,4888,0.8732255520504731,15.0,0.9288565390936839,True,0,0,,0,,0.015527262781421802,-0.11881319738672502,0.038910223817939626,True,0.23839156441808051
BraTS20_Training_298,94,3,10,0.15384615384615385,24.045506426523477,0.3076923076923077,True,1,2,0.13333333333333333,81,0.48,15.876018794218888,0.7894736842105263,True,1,2,0.15807560137457044,123,0.5161290322580645,15.524174696260024,0.8151658767772512,True,1,2,0.13333333333333333,0,0.0,0.36228287841191065,8.521331730263453,0.5074735690849435,True,-7.056289124262612
